cbsa_code,metro_name,state_code,total_count,pubHS_count,privHS_count,cc_count,other_count
31080,"Los Angeles, Long Beach, Anaheim",CA,319,205,30,58,26
41740,"San Diego, Carlsbad",CA,194,111,15,57,11
41860,"San Francisco, Oakland, Hayward",CA,132,81,19,27,5
40140,"Riverside, San Bernardino, Ontario",CA,114,61,1,34,18
40900,"Sacramento, Roseville, Arden-Arcade",CA,62,28,6,22,6
41940,"San Jose, Sunnyvale, Santa Clara",CA,54,31,4,15,4
35620,"New York, Newark, Jersey City","NY, NJ, PA",31,17,9,1,4
20940,El Centro,CA,21,11,2,4,4
47900,"Washington, Arlington, Alexandria","DC, VA, MD, WV",20,13,4,2,1
12060,"Atlanta, Sandy Springs, Roswell",GA,19,7,10,0,2
14460,"Boston, Cambridge, Newton","MA, NH",18,7,7,1,3
23420,Fresno,CA,18,13,1,2,2
16980,"Chicago, Naperville, Elgin","IL, IN, WI",18,15,2,0,1
46520,Urban Honolulu,HI,17,4,11,0,2
38060,"Phoenix, Mesa, Scottsdale",AZ,17,12,4,0,1
33100,"Miami, Fort Lauderdale, West Palm Beach",FL,15,0,11,0,4
42660,"Seattle, Tacoma, Bellevue",WA,15,9,4,0,2
42220,Santa Rosa,CA,15,11,2,2,0
19740,"Denver, Aurora, Lakewood",CO,14,10,1,2,1
38900,"Portland, Vancouver, Hillsboro","OR, WA",14,9,2,2,1
37100,"Oxnard, Thousand Oaks, Ventura",CA,12,7,0,5,0
46700,"Vallejo, Fairfield",CA,12,9,1,2,0
12540,Bakersfield,CA,12,10,0,1,1
12580,"Baltimore, Columbia, Towson",MD,12,1,10,0,1
29820,"Las Vegas, Henderson, Paradise",NV,12,7,3,0,2
19100,"Dallas, Fort Worth, Arlington",TX,11,4,7,0,0
41500,Salinas,CA,8,3,2,3,0
12420,"Austin, Round Rock",TX,7,5,2,0,0
27260,Jacksonville,FL,7,2,5,0,0
42200,"Santa Maria, Santa Barbara",CA,7,1,0,3,3
47300,"Visalia, Porterville",CA,6,4,0,1,1
44700,"Stockton, Lodi",CA,6,3,0,2,1
32900,Merced,CA,6,2,0,2,2
33700,Modesto,CA,5,3,0,2,0
34900,Napa,CA,5,3,1,1,0
33460,"Minneapolis, St. Paul, Bloomington","MN, WI",5,4,0,0,1
42100,"Santa Cruz, Watsonville",CA,5,3,1,1,0
46060,Tucson,AZ,5,3,1,0,1
26420,"Houston, The Woodlands, Sugar Land",TX,5,2,3,0,0
14500,Boulder,CO,4,4,0,0,0
45940,Trenton,NJ,4,2,2,0,0
42020,"San Luis Obispo, Paso Robles, Arroyo Grande",CA,4,2,0,2,0
49340,Worcester,"MA, CT",3,1,2,0,0
39820,Redding,CA,3,2,0,1,0
28180,Kapaa,HI,3,2,1,0,0
25900,Hilo,HI,3,0,2,0,1
37980,"Philadelphia, Camden, Wilmington","PA, NJ, DE, MD",3,2,0,0,1
45860,Torrington,CT,2,0,2,0,0
39780,Red Bluff,CA,2,2,0,0,0
25540,"Hartford, West Hartford, East Hartford",CT,2,0,2,0,0
17820,Colorado Springs,CO,2,1,1,0,0
46020,"Truckee, Grass Valley",CA,2,2,0,0,0
35300,"New Haven, Milford",CT,2,0,2,0,0
27980,"Kahului, Wailuku, Lahaina",HI,2,2,0,0,0
12100,"Atlantic City, Hammonton",NJ,2,0,0,0,2
41180,St. Louis,"MO, IL",2,0,1,0,1
26860,Indiana,PA,1,0,1,0,0
38300,Pittsburgh,PA,1,0,0,0,1
36740,"Orlando, Kissimmee, Sanford",FL,1,0,0,0,1
14860,"Bridgeport, Stamford, Norwalk",CT,1,0,0,0,1
25260,"Hanford, Corcoran",CA,1,1,0,0,0
17020,Chico,CA,1,0,0,1,0
31460,Madera,CA,1,1,0,0,0
