num_longisland_pubHS_visited_196097,104
num_longisland_pubHS_196097,110
pct_longisland_pubHS_visited_196097,95\\%
num_longislandext_pubHS_visited_196097,149
num_longislandext_pubHS_196097,319
pct_longislandext_pubHS_visited_196097,47\\%
num_longisland_CC_visited_196097,2
num_longisland_CC_196097,7
pct_longisland_CC_visited_196097,29\\%
num_longislandext_CC_visited_196097,5
num_longislandext_CC_196097,10
pct_longislandext_CC_visited_196097,50\\%
num_LA_pubHS_visited_110653,106
num_LA_pubHS_110653,407
pct_LA_pubHS_visited_110653,26\\%
num_SF_pubHS_visited_110635,61
num_SF_pubHS_110635,135
pct_SF_pubHS_visited_110635,45\\%
